#      x          Cp  
     1.00000    0.31716
     0.99619    0.18881
     0.99099    0.15012
     0.98497    0.11738
     0.97830    0.09184
     0.97120    0.07032
     0.96385    0.05184
     0.95638    0.03563
     0.94885    0.02118
     0.94128    0.00811
     0.93370   -0.00386
     0.92612   -0.01492
     0.91852   -0.02523
     0.91092   -0.03491
     0.90332   -0.04405
     0.89572   -0.05271
     0.88812   -0.06097
     0.88051   -0.06886
     0.87290   -0.07642
     0.86529   -0.08370
     0.85768   -0.09071
     0.85006   -0.09749
     0.84245   -0.10405
     0.83483   -0.11041
     0.82721   -0.11660
     0.81959   -0.12261
     0.81197   -0.12848
     0.80434   -0.13420
     0.79672   -0.13979
     0.78909   -0.14526
     0.78146   -0.15062
     0.77383   -0.15587
     0.76620   -0.16103
     0.75857   -0.16609
     0.75094   -0.17107
     0.74331   -0.17597
     0.73567   -0.18079
     0.72804   -0.18554
     0.72040   -0.19023
     0.71276   -0.19486
     0.70512   -0.19943
     0.69748   -0.20395
     0.68984   -0.20842
     0.68220   -0.21284
     0.67456   -0.21722
     0.66692   -0.22156
     0.65928   -0.22586
     0.65164   -0.23013
     0.64399   -0.23436
     0.63635   -0.23857
     0.62871   -0.24274
     0.62106   -0.24689
     0.61342   -0.25102
     0.60577   -0.25512
     0.59813   -0.25921
     0.59048   -0.26328
     0.58284   -0.26733
     0.57519   -0.27137
     0.56755   -0.27541
     0.55990   -0.27943
     0.55226   -0.28344
     0.54462   -0.28745
     0.53697   -0.29146
     0.52933   -0.29547
     0.52169   -0.29949
     0.51404   -0.30350
     0.50640   -0.30754
     0.49876   -0.31158
     0.49112   -0.31564
     0.48348   -0.31973
     0.47584   -0.32384
     0.46821   -0.32800
     0.46057   -0.33220
     0.45294   -0.33646
     0.44530   -0.34079
     0.43767   -0.34522
     0.43004   -0.34979
     0.42241   -0.35450
     0.41479   -0.35947
     0.40717   -0.36494
     0.39957   -0.37144
     0.39199   -0.37830
     0.38442   -0.38334
     0.37686   -0.38787
     0.36931   -0.39218
     0.36175   -0.39610
     0.35420   -0.39978
     0.34666   -0.40322
     0.33911   -0.40643
     0.33157   -0.40943
     0.32404   -0.41223
     0.31651   -0.41483
     0.30898   -0.41724
     0.30146   -0.41944
     0.29394   -0.42146
     0.28642   -0.42328
     0.27892   -0.42490
     0.27142   -0.42632
     0.26392   -0.42754
     0.25643   -0.42855
     0.24895   -0.42934
     0.24148   -0.42992
     0.23401   -0.43027
     0.22656   -0.43039
     0.21911   -0.43027
     0.21167   -0.42989
     0.20425   -0.42926
     0.19683   -0.42835
     0.18943   -0.42715
     0.18205   -0.42566
     0.17467   -0.42385
     0.16732   -0.42171
     0.15998   -0.41921
     0.15266   -0.41634
     0.14537   -0.41306
     0.13810   -0.40936
     0.13085   -0.40518
     0.12364   -0.40051
     0.11645   -0.39527
     0.10931   -0.38944
     0.10221   -0.38293
     0.09516   -0.37567
     0.08816   -0.36756
     0.08124   -0.35848
     0.07439   -0.34830
     0.06765   -0.33684
     0.06104   -0.32387
     0.05460   -0.30915
     0.04837   -0.29237
     0.04243   -0.27323
     0.03685   -0.25142
     0.03173   -0.22672
     0.02712   -0.19898
     0.02307   -0.16816
     0.01955   -0.13419
     0.01652   -0.09694
     0.01392   -0.05614
     0.01169   -0.01141
     0.00977    0.03785
     0.00811    0.09229
     0.00666    0.15266
     0.00540    0.21986
     0.00431    0.29479
     0.00336    0.37789
     0.00254    0.46932
     0.00184    0.56839
     0.00126    0.67230
