alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
-5,-0.0937,0,-0.00058,-0.1049,0,0,0,0
-4,0.0237,0,-0.00057,-0.1058,0,0,0,0
-3,0.1411,0,-0.00057,-0.1067,0,0,0,0
-2,0.2585,0,-0.00057,-0.1077,0,0,0,0
-1,0.3758,0,-0.00057,-0.1087,0,0,0,0
0,0.493,0,-0.00057,-0.1097,0,0,0,0
1,0.61,0,-0.00058,-0.1107,0,0,0,0
2,0.7268,0,-0.00059,-0.1117,0,0,0,0
3,0.8434,0,-0.0006,-0.1128,0,0,0,0
4,0.9598,0,-0.00061,-0.1139,0,0,0,0
5,1.0758,0,-0.00063,-0.115,0,0,0,0
6,1.1916,0,-0.00065,-0.1162,0,0,0,0
7,1.3069,0,-0.00067,-0.1174,0,0,0,0
8,1.4219,0,-0.0007,-0.1185,0,0,0,0
9,1.5364,0,-0.00073,-0.1197,0,0,0,0
10,1.6505,0,-0.00076,-0.1209,0,0,0,0
